,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link
40483697,,,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,A,3.5,92,https://www.yelp.com/biz/lunt-fontanne-theatre-new-york?start=0
50036413,Yes,No,,No,Full Bar,,No,Yes,Yes,No,,Yes,Yes,No,Street,No,,Yes,No,,Yes,Yes,Free,,,Casual,Casual,"Fri, Sat, Sun",Yes,Yes,No,"Lunch, Dinner, Late Night",,Average,,No,$11-30,A,4,193,https://www.yelp.com/biz/the-grayson-new-york?start=0
50007126,Yes,No,,No,No,,Yes,,Yes,No,,,Yes,No,,No,,Yes,No,,No,Yes,Free,,,Casual,,,,Yes,Yes,"Breakfast, Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.5,138,https://www.yelp.com/biz/sandwicherie-of-new-york-new-york?start=0
41141330,Yes,,,No,No,,No,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,No,Yes,"Breakfast, Lunch",,Average,,,Under $10,B,4,315,https://www.yelp.com/biz/toasties-new-york-6?start=0
41563445,Yes,No,,Yes,Full Bar,,Yes,Yes,No,Yes,,Yes,Yes,Yes,"Garage, Street",Yes,,Yes,Yes,,Yes,Yes,Free,,,Casual,Casual,"Thu, Fri, Sat",,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,3.5,195,https://www.yelp.com/biz/gmt-tavern-new-york?start=0
41138984,Yes,,,No,,,,,,,,,,,,,,,,,,,Paid,,,,,,,,,,,,,,Pricey,A,2.5,817,https://www.yelp.com/biz/the-roosevelt-hotel-new-york-5?start=0
41012946,Yes,,,No,No,,Yes,,No,,,,Yes,No,,No,,Yes,No,,,,Free,,,,Casual,,,Yes,No,,,Average,,,Under $10,,3.5,3,https://www.yelp.com/biz/park-cafe-time-warner-center-new-york-2?start=0
50045493,Yes,,,,Full Bar,,Yes,,No,,,,No,No,Garage,Yes,,No,Yes,,,,No,,,"Classy, Upscale",Dressy,,,Yes,No,Dinner,,Quiet,,,$31-60,A,4,65,https://www.yelp.com/biz/grand-tier-restaurant-new-york-2?start=0
41172740,,,,,,,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,,A,4.5,2,https://www.yelp.com/biz/pierpont-morgan-library-new-york?start=0
41651838,Yes,No,,No,Full Bar,,,,,,,,Yes,Yes,"Garage, Street",Yes,,,Yes,,,,Free,,,Casual,,"Thu, Fri, Sat",No,Yes,,,,Average,,No,Moderate,A,3.5,572,https://www.yelp.com/biz/beer-authority-new-york?start=0
50006102,Yes,No,,No,Full Bar,,Yes,No,No,No,,Yes,Yes,Yes,Street,Yes,,No,No,,Yes,No,Free,,,"Casual, Intimate",Casual,"Wed, Thu, Fri",No,No,No,"Dinner, Late Night",,Average,,,$11-30,A,4.5,138,https://www.yelp.com/biz/pino-wine-bar-new-york?start=0
50083241,Yes,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,272,https://www.yelp.com/biz/cobbler-express-shoe-repair-new-york-7?start=0
50046981,Yes,No,,No,Full Bar,,,Yes,,,,No,Yes,Yes,,,,,Yes,,,Yes,Free,,,,,,,,,,,,,,,,5,28,https://www.yelp.com/biz/the-wilson-new-york-2?start=0
50066928,Yes,No,,No,Beer & Wine Only,,Yes,,No,No,,Yes,Yes,No,Street,No,,Yes,Yes,,Yes,No,No,,Yes,"Casual, Trendy",Casual,,,Yes,Yes,Dinner,,Average,,,$11-30,A,4.5,39,https://www.yelp.com/biz/jia-nyc-new-york-2?start=0
41401638,Yes,,,No,Full Bar,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,321,https://www.yelp.com/biz/madison-restaurant-new-york-2?start=0
50060220,Yes,No,,,No,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,$11-30,A,4,71,https://www.yelp.com/biz/cafe-kabila-new-york?start=0
50055248,Yes,,,,,Yes,,,,,,,,,Street,No,,,,,,,,,,,,,,,,,,,,,Moderate,,5,50,https://www.yelp.com/biz/belle-f%C3%A9e-new-york-2?start=0
41555214,Yes,,,No,Full Bar,,No,No,No,No,,No,No,No,Street,Yes,,No,Yes,,Yes,No,Free,,Yes,,Casual,,,No,No,Dinner,Background,Loud,,No,$31-60,A,4,330,https://www.yelp.com/biz/fedora-new-york-2?start=0
40998586,Yes,,,,Full Bar,,,,,,,Yes,Yes,No,,No,,,No,,,,Paid,,,Touristy,,,,Yes,,,,Very Loud,,No,Pricey,A,3.5,33,https://www.yelp.com/biz/the-trump-bar-new-york?start=0
41616112,Yes,,,No,Full Bar,,Yes,,No,,,,Yes,No,"Garage, Street",No,,Yes,Yes,,,,Free,,Yes,Casual,Casual,,No,Yes,No,Late Night,,Average,,No,$11-30,A,3.5,328,https://www.yelp.com/biz/faces-and-names-new-york?start=0
50049372,Yes,,,,No,,,,Yes,,,,No,No,,No,,Yes,No,,,,Free,,,,Casual,,,Yes,Yes,"Breakfast, Brunch, Lunch",,,,,$11-30,A,3,24,https://www.yelp.com/biz/le-pain-quotidien-new-york-164?start=0
50033434,Yes,,,Yes,Beer & Wine Only,,Yes,,Yes,,,Yes,Yes,No,,Yes,,Yes,No,,No,Yes,Free,,,"Divey, Hipster, Casual",,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,B,3,63,https://www.yelp.com/biz/wing-bistro-sports-bar-new-york?start=0
41148107,Yes,,,,No,,Yes,,Yes,,,,No,No,,No,,Yes,No,,,,No,,,,,,,No,Yes,,,Average,,,Under $10,A,3,13,https://www.yelp.com/biz/hidden-city-cafe-new-york?start=0
41014823,Yes,No,,No,Full Bar,No,,No,,No,,Yes,Yes,No,Street,No,,,Yes,,,Yes,Free,,Yes,Casual,,"Wed, Fri, Sat",No,Yes,,,,Average,,Yes,Moderate,A,4,186,https://www.yelp.com/biz/space-billiards-new-york?start=0
40864264,Yes,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,Free,,,Divey,,"Wed, Fri, Sat",No,Yes,,,Juke Box,Very Loud,,No,Moderate,A,3,110,https://www.yelp.com/biz/the-village-tavern-new-york?start=0
50058045,Yes,,,No,Full Bar,,Yes,,No,,,,No,No,Street,Yes,,Yes,No,,Yes,Yes,Free,,Yes,"Casual, Intimate",Casual,,,No,No,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,4.5,174,https://www.yelp.com/biz/post-new-york-2?start=0
41281111,Yes,,,No,Full Bar,,,,,,,,No,No,Street,No,,,Yes,,,,No,,Yes,Trendy,,,,Yes,,,DJ,Very Loud,,No,Ultra High-End,A,3,346,https://www.yelp.com/biz/the-box-new-york?start=0
