,DBA,fetched_restaurant,similarity_index,sentiment_score,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link,violation_score
40396488,AUCTION HOUSE,Fortuna Auction House,76.0,0.8911999999999999,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,https://www.yelp.com/biz/fortuna-auction-house-new-york?start=0,21.333333333333332
40396494,CORNER CAFE AND BAKERY,Corner Cafe and Bakery,100.0,0.5401075,Yes,,,No,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,No,,Yes,Casual,Casual,,,Yes,Yes,"Breakfast, Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.5,256.0,https://www.yelp.com/biz/corner-cafe-and-bakery-new-york-3?start=0,26.5
40396532,METRO DINER,Metro Diner,100.0,0.390225,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,No,No,Street,No,,Yes,No,,Yes,No,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.0,297.0,https://www.yelp.com/biz/metro-diner-new-york?start=0,13.5
40397624,LE MIRAGE CAFE,Le Mirage Gourmet,71.0,0.4961567567567567,Yes,,,,No,,Yes,,Yes,,,,No,No,,Yes,,Yes,No,,,,No,,,Casual,,,,No,Yes,,,Average,,,$11-30,A,3.0,37.0,https://www.yelp.com/biz/le-mirage-gourmet-new-york?start=0,16.5
40398561,TOM AND JERRY BAR,Tom & Jerry’s,67.0,0.771002,No,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,Free,,Yes,"Divey, Casual",,"Wed, Fri, Sat",,Yes,,,,Loud,,No,Moderate,A,4.0,244.0,https://www.yelp.com/biz/tom-and-jerrys-new-york?start=0,13.0
40398578,DYCKMAN BAR,Dyckman Bar,100.0,0.5748463414634146,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,No,,,No,,,,No,,Yes,Casual,,"Fri, Sat, Sun",Yes,Yes,,,DJ,Loud,,No,Moderate,A,3.0,82.0,https://www.yelp.com/biz/dyckman-bar-new-york?start=0,14.666666666666666
40398690,DOC HOLIDAYS,Doc Holliday’s,92.0,0.5675465000000001,Yes,No,,No,Full Bar,,,,,,,,Yes,No,Street,No,,,No,,,,Free,,,Divey,,,No,Yes,,,Juke Box,Loud,,Yes,Inexpensive,A,3.5,241.0,https://www.yelp.com/biz/doc-hollidays-new-york?start=0,8.333333333333334
40399057,9TH AVE SALOON,9th Avenue Saloon,90.0,0.5747337837837837,Yes,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,Free,,Yes,Divey,,"Thu, Sat, Sun",,Yes,,,Juke Box,Average,,No,Inexpensive,A,3.5,75.0,https://www.yelp.com/biz/9th-avenue-saloon-new-york?start=0,17.25
40399136,ROCKEFELLER U/ABBY BLDG,The Bonney Read,32.0,0.6963615,Yes,No,,No,Full Bar,,No,No,No,,,Yes,Yes,Yes,Street,No,,Yes,Yes,,Yes,Yes,No,,,Casual,Casual,"Wed, Thu, Sat",No,Yes,Yes,Dinner,,Loud,,No,$11-30,,3.5,317.0,https://www.yelp.com/biz/the-bonney-read-asbury-park-2?start=0,12.666666666666666
40399910,PIECES,Pieces,100.0,0.6392567164179104,Yes,,,No,Full Bar,,,,,,,,Yes,No,Street,Yes,,,,,,,Free,,Yes,Divey,,"Tue, Fri, Sat",Yes,Yes,,,DJ,Average,,No,Inexpensive,A,3.5,134.0,https://www.yelp.com/biz/pieces-new-york-2?start=0,12.0
40400185,CAFE BEYOND,Cafe Beyond,100.0,0.4642851851851852,Yes,,,,No,,No,,No,,,,No,No,Street,No,,Yes,No,,,,No,,,Casual,,,,No,Yes,Lunch,,Average,,,$11-30,,3.0,54.0,https://www.yelp.com/biz/cafe-beyond-new-york?start=0,19.75
40401104,1020 BAR,1020 Bar,100.0,0.5348608,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,Yes,No,,,Divey,,"Mon, Tue, Thu",,Yes,,,Background,Loud,,Yes,Inexpensive,A,3.5,125.0,https://www.yelp.com/biz/1020-bar-new-york?start=0,21.25
